RANK,COMMON NAME,CHECKLISTS
1,House Sparrow,26
2,Canada Goose,24
3,Ring-billed Gull,19
4,American Robin,18
5,Mallard,14
6,Chimney Swift,14
7,Northern Cardinal,13
8,Rock Pigeon,13
9,American Crow,13
10,Cooper's Hawk,12
11,Golden-crowned Kinglet,10
12,Downy Woodpecker,9
13,Black-capped Chickadee,9
14,Dark-eyed Junco,9
15,Common Goldeneye,9
16,Palm Warbler,8
17,American Goldfinch,8
18,Yellow-rumped Warbler,8
19,Mourning Dove,7
20,Song Sparrow,7
21,Eastern Phoebe,7
22,Lincoln's Sparrow,5
23,Red-breasted Nuthatch,5
24,White-throated Sparrow,5
25,Swainson's Thrush,5
26,Ruby-throated Hummingbird,5
27,European Starling,5
28,Hermit Thrush,5
29,Mallard (Domestic type),4
30,Great Blue Heron,4
